MonsoonIntensity,TopographyDrainage,RiverManagement,Deforestation,Urbanization,ClimateChange,DamsQuality,Siltation,AgriculturalPractices,Encroachments,IneffectiveDisasterPreparedness,DrainageSystems,CoastalVulnerability,Landslides,Watersheds,DeterioratingInfrastructure,PopulationScore,WetlandLoss,InadequatePlanning,PoliticalFactors,FloodProbability,flood_risk_label
2,1,5,4,4,3,2,9,2,10,7,1,1,2,4,4,9,10,1,9,0.5699,MEDIUM
4,9,7,4,8,10,5,1,3,7,6,5,3,4,6,2,2,7,2,6,0.3945,MEDIUM
6,10,5,1,8,9,2,7,2,9,5,10,6,10,4,2,1,4,5,2,0.4759,MEDIUM
4,2,7,5,8,6,3,6,6,4,5,2,10,3,9,4,3,8,7,5,0.5943,MEDIUM
9,4,6,1,4,1,6,7,5,2,4,10,6,4,8,7,8,3,5,3,0.3795,MEDIUM
4,9,9,5,10,7,10,7,6,4,3,9,8,2,1,2,3,3,7,10,0.424,MEDIUM
2,7,7,10,8,9,5,9,1,2,9,5,6,2,5,7,3,8,1,5,0.5521,MEDIUM
9,3,9,2,5,9,10,4,3,6,3,9,9,1,10,6,8,1,2,6,0.4085,MEDIUM
5,4,1,4,10,2,2,8,2,9,3,3,8,9,3,5,9,10,7,4,0.6312,HIGH
9,4,5,7,6,8,9,8,2,4,4,2,6,1,10,9,4,10,4,1,0.5106,MEDIUM
2,1,4,2,1,6,2,9,4,5,8,4,9,3,10,10,8,4,8,7,0.537,MEDIUM
4,2,2,7,6,7,7,8,1,2,1,7,6,2,4,4,4,9,8,3,0.4536,MEDIUM
7,3,5,8,4,2,8,9,2,1,9,1,2,4,3,7,8,8,4,7,0.5486,MEDIUM
1,3,7,1,7,5,8,5,7,9,8,3,4,5,4,1,10,9,1,6,0.4179,MEDIUM
1,1,10,8,9,9,3,1,9,2,3,2,10,2,4,7,2,10,4,10,0.4977,MEDIUM
10,1,10,2,7,10,10,9,6,5,4,6,4,5,7,3,5,8,6,2,0.4608,MEDIUM
1,8,10,10,2,2,9,4,9,5,3,6,2,4,6,5,3,8,9,5,0.3373,LOW
10,9,1,9,5,2,3,5,2,2,9,3,5,5,10,4,6,4,5,9,0.5181,MEDIUM
8,5,1,2,7,5,1,1,6,3,5,3,8,9,7,9,1,2,2,3,0.4581,MEDIUM
9,1,6,10,9,3,7,3,1,5,6,1,6,4,4,2,6,9,7,10,0.5324,MEDIUM
3,4,3,3,7,1,3,6,7,4,5,3,2,7,1,8,4,4,8,6,0.592,MEDIUM
5,4,4,1,4,7,6,5,2,5,6,9,7,9,6,1,2,5,3,10,0.4243,MEDIUM
5,1,2,10,7,6,6,7,10,9,2,7,10,4,5,1,7,1,9,9,0.6194,HIGH
4,6,7,2,6,10,6,2,5,9,5,7,6,7,5,9,3,4,7,7,0.443,MEDIUM
3,10,10,5,7,9,1,5,5,4,7,10,10,6,8,8,8,4,9,8,0.5004,MEDIUM
3,2,5,9,10,6,2,4,5,4,4,3,1,1,4,8,10,2,8,7,0.5655,MEDIUM
10,4,7,8,7,4,3,1,2,7,4,3,9,8,1,9,4,2,8,3,0.5262,MEDIUM
8,9,9,10,6,8,10,9,7,9,8,3,8,8,5,4,5,9,8,4,0.6261,HIGH
5,8,2,5,4,5,6,6,9,2,3,3,4,7,3,4,2,7,7,6,0.4704,MEDIUM
9,8,7,1,4,7,7,10,1,10,7,8,1,6,5,7,7,9,9,10,0.5328,MEDIUM
4,8,4,5,7,8,1,7,6,7,3,8,3,10,9,1,7,10,10,1,0.4982,MEDIUM
2,7,3,8,3,1,5,7,6,4,8,6,6,7,5,7,5,2,8,1,0.5408,MEDIUM
9,1,6,4,2,1,1,4,4,1,10,3,4,3,8,2,10,4,8,5,0.4828,MEDIUM
6,3,10,10,2,3,5,2,10,1,5,10,7,7,4,2,10,4,2,5,0.3966,MEDIUM
10,2,10,1,6,9,7,6,2,9,6,1,7,8,2,7,6,8,3,7,0.6329,HIGH
3,9,5,10,9,8,8,7,10,5,6,4,2,5,8,4,8,10,10,7,0.5345,MEDIUM
6,1,8,6,3,8,4,6,5,6,5,10,5,9,1,9,4,2,4,7,0.5417,MEDIUM
8,9,4,8,8,8,1,2,5,4,7,4,5,10,6,8,9,9,6,7,0.5605,MEDIUM
9,6,6,8,5,5,5,4,2,4,6,2,9,3,4,4,8,5,10,9,0.5191,MEDIUM
10,5,2,4,5,4,6,3,5,1,9,3,5,1,1,9,5,3,8,2,0.519,MEDIUM
1,10,5,8,8,8,6,3,1,5,8,2,2,7,8,2,10,1,3,3,0.4406,MEDIUM
10,5,2,4,2,9,7,10,10,10,4,9,7,8,8,5,10,7,5,10,0.6457,HIGH
10,1,10,2,4,4,5,2,3,4,3,9,2,3,1,7,8,10,8,5,0.462,MEDIUM
1,4,5,5,8,2,4,5,10,4,7,2,9,4,3,5,3,2,1,3,0.4657,MEDIUM
5,10,10,5,8,2,8,5,7,5,9,9,8,8,2,10,1,7,6,10,0.452,MEDIUM
5,1,2,4,10,10,1,5,10,1,3,8,9,8,5,3,10,7,8,2,0.599,MEDIUM
8,6,7,6,6,2,3,6,7,8,5,7,9,1,8,2,6,5,6,2,0.4427,MEDIUM
7,9,1,9,8,7,1,4,9,6,10,8,8,1,4,5,9,3,5,8,0.659,HIGH
8,2,1,10,4,3,5,9,1,9,7,2,4,2,8,2,3,8,5,9,0.5749,MEDIUM
5,7,8,8,4,8,9,3,7,4,10,9,3,2,5,7,6,9,5,1,0.3684,MEDIUM
