feature,importance
risk_score,0.5346071028478964
zone_Zone 5,0.07769979629839417
zone_Zone 4,0.0740619507058447
zone_Zone 3,0.05849613849040158
precipitation,0.0382234273875376
evac_Evacuated,0.032558704559900745
zone_incident_count,0.025247645945023968
relative_humidity,0.018611118108392378
zone_Zone 6,0.017789158259101764
evac_Unaccounted,0.01712817531255733
zone_Zone 2,0.01624857229340503
wind_speed,0.013758488469411967
household_members,0.012646895106901625
temp_mean,0.012076000064930974
heat_index,0.0099577210060875
rainy_season,0.009749475372470251
tag_bedridden,0.006812782096228329
weather_Medium,0.006270739126762602
tag_pregnant,0.00456972830775812
tag_infant,0.004483382583343652
tag_pwd,0.0041944856747366775
tag_senior_citizen,0.0029998437005455047
weather_High,0.0018086682823674146
