city,barangay,date,month,precipitation,temp_mean,temp_min,temp_max,heat_index,wind_speed,relative_humidity,zone,evacuation_status,household_members,zone_incident_count,tag_bedridden,tag_pwd,tag_senior_citizen,tag_pregnant,tag_infant,rainy_season,weather_risk,risk_score,risk_label
Cagayan de Oro,Kauswagan,2003-11-04,11,6.8,27.86,24.88,29.97,32.27,3.71,84.1,Zone 5,Safe,2,2,1,0,0,1,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2005-01-01,1,3.68,26.78,24.84,29.54,30.35,1.39,75.7,Zone 4,Safe,4,1,0,0,0,1,0,0,,37,LOW
Cagayan de Oro,Kauswagan,2021-04-15,4,5.31,27.58,25.52,31.25,30.71,1.61,71.3,Zone 3,Evacuated,3,1,0,0,0,0,0,1,,81,HIGH
Cagayan de Oro,Kauswagan,2013-03-07,3,4.7,28.58,26.88,31.03,33.1,2.97,85.2,Zone 1,Safe,6,1,1,0,0,1,0,0,,60,MEDIUM
Cagayan de Oro,Kauswagan,2020-07-03,7,9.41,28.56,26.47,31.63,33.08,1.74,85.2,Zone 3,Unaccounted,6,1,1,0,0,0,0,1,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2012-11-08,11,6.36,27.6,24.13,31.24,31.81,2.97,82.1,Zone 5,Unaccounted,7,1,0,0,1,0,0,1,,100,HIGH
Cagayan de Oro,Kauswagan,2014-03-12,3,7.4,29.05,27.13,31.22,32.64,3.56,75.9,Zone 6,Unaccounted,2,1,0,0,0,0,0,1,Medium,89,HIGH
Cagayan de Oro,Kauswagan,2008-12-08,12,4.47,26.03,23.61,28.2,30.44,1.85,84.1,Zone 3,Unaccounted,9,0,0,0,0,0,0,0,,100,HIGH
Cagayan de Oro,Kauswagan,2004-01-08,1,4.06,27.31,24.2,29.81,31.34,3.57,80.3,Zone 5,Safe,10,2,0,0,0,0,0,0,Medium,100,HIGH
Cagayan de Oro,Kauswagan,2015-11-16,11,10.72,27.1,23.83,30.21,30.8,3.82,77.0,Zone 1,Safe,3,1,0,0,1,0,0,1,Medium,58,MEDIUM
